Taxonomy,SD3106,SD3107,SD3108,SD3109,SD3110,SD3111,SD3112,SD3113,SD3114,X139536_S27,X139537_S33,X139538_S35,X139539_COM,X139540_COM,X139541_S25,X139542_COM,X139543_S12,X139544_COM,X139545_S147,X139546_S148,X139547_S149,X139548_S150,X139549_S151,X139550_S152,X139551_S153,X139552_S154,X139553_S155,X139554_S156,X139555_S157,X139556_S158,X139557_S159,X139558_S160,X139560_S161,X139561_S162,X139562_S163,X139563_S164,X139564_S165,X139565_S166,X139566_S167,X139567_S168,X139568_S169,X139569_S170,X139570_S171,X139571_S172,X139572_S173,SD9007_COM,SD9008_S2,SD9009_S3,SD9010_S4,SD9011_COM,SD9012_S6,X139573_S174,X139574_S175,X139575_S176,X139576_S177,X139577_S178,X139578_S179,X139579_S180,X139580_S181,X139581_S182,X139582_S183,X139583_S184,X139584_S185,X139585_S186,X139586_S187,X139587_S188,X139588_S189,X139589_S190,X139590_S191
d__;p__;c__;o__;f__;g__;s__,0,2,4,1,1,3,0,0,0,3,0,5,9,23,9,6,2,3,0,0,2,0,1,1,0,0,1,1,3,3,0,1,0,0,0,0,1,0,2,2,2,3,0,2,1,1,4,3,0,0,1,10,8,13,12,11,26,0,1,3,9,9,16,6,2,5,4,3,0
d__Archaea;p__;c__;o__;f__;g__;s__,1,0,0,96,91,160,138,87,67,19,13,18,131,125,56,109,40,90,0,1,0,27,22,21,50,26,207,4,0,1,2,0,2,16,30,43,3,0,0,13,12,5,84,124,87,36,41,38,174,80,191,20,15,41,109,55,166,37,57,35,42,19,37,20,13,12,74,73,46
d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__;f__;g__;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__uncultured_archaeon_graftm_4;f__;g__;s__,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__uncultured_euryarchaeote_graftm_33;f__;g__;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
d__Archaea;p__Asgardaeota;c__;o__;f__;g__;s__,0,0,0,2,0,3,0,0,0,11,8,14,39,48,17,13,1,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,4,1,0,0,1,2,1,0,0,0,0,4,10,19,33,11,47,1,0,0,19,2,23,16,4,11,0,1,2
d__Archaea;p__Asgardaeota;c__Heimdallarchaeia;o__;f__;g__;s__,0,0,0,6,5,4,0,0,0,8,13,13,62,38,15,19,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,5,3,1,0,0,0,3,9,5,0,0,0,17,11,28,50,15,76,4,0,2,26,10,23,10,13,11,3,4,1
d__Archaea;p__Asgardaeota;c__Heimdallarchaeia;o__uncultured_archaeon_graftm_41;f__;g__;s__,0,1,0,8,7,11,0,2,1,23,20,19,83,97,39,47,7,6,0,0,0,1,2,0,0,0,0,0,2,5,2,0,0,0,0,0,4,0,0,12,8,5,0,4,0,5,7,3,0,0,0,32,35,55,108,40,135,12,3,5,53,29,68,25,22,33,6,7,6
d__Archaea;p__Asgardaeota;c__Heimdallarchaeia;o__unidentified_archaeon_graftm_2;f__;g__;s__,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0
d__Archaea;p__Asgardaeota;c__Lokiarchaeia;o__uncultured_crenarchaeote_graftm_11;f__;g__;s__,0,0,0,1,0,0,0,0,0,3,0,0,8,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,8,2,6,0,0,0,3,0,4,4,1,3,0,3,0
d__Archaea;p__Asgardaeota;c__Odinarchaeia;o__;f__;g__;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
d__Archaea;p__Asgardaeota;c__Odinarchaeia;o__uncultured_archaeon_graftm_24;f__;g__;s__,0,0,0,2,1,2,1,0,0,2,2,0,5,10,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,3,3,13,1,18,0,0,2,4,1,1,4,2,4,0,0,0
